Real,Predict
3,3
3,3
0,0
4,4
2,3
6,0
3,3
6,6
4,4
2,2
1,6
2,2
0,6
3,3
0,0
2,2
3,3
0,4
2,4
6,6
4,4
4,4
2,2
6,0
4,4
4,4
2,2
3,3
3,3
0,0
4,4
2,2
3,3
0,0
2,2
3,3
6,6
4,4
2,2
3,3
0,3
2,2
3,3
3,3
3,3
0,0
2,2
6,0
6,6
4,4
4,4
4,4
5,4
0,0
4,4
4,4
4,4
2,2
6,6
3,0
3,3
3,3
0,0
4,4
2,2
3,0
0,4
2,2
3,3
0,2
2,6
3,0
3,3
0,0
2,2
0,4
2,2
3,3
3,3
0,0
2,2
0,0
4,4
0,0
2,2
3,3
0,0
2,2
1,6
4,4
2,2
3,3
6,4
3,3
3,3
6,6
6,6
4,4
3,0
0,6
6,0
4,4
4,4
4,4
3,3
3,3
0,0
4,4
2,2
3,0
3,3
0,0
4,4
4,4
4,4
3,3
0,0
2,2
3,0
3,3
3,3
0,0
2,2
0,4
4,4
4,4
4,4
6,6
4,4
2,2
0,6
4,4
2,3
6,0
4,6
3,3
6,6
4,4
4,4
2,2
3,0
6,6
3,3
6,6
4,4
2,2
3,3
0,0
2,2
3,3
0,6
4,4
2,3
0,0
2,2
3,3
0,0
4,4
4,4
0,0
4,4
4,4
4,4
5,2
0,0
2,4
6,6
3,3
0,0
2,2
0,0
2,2
3,3
0,0
4,4
4,4
3,3
3,3
3,3
3,3
0,3
2,2
3,3
0,0
4,4
3,3
0,0
2,2
3,0
4,4
0,0
2,2
3,0
0,0
4,4
4,4
2,2
3,3
3,3
3,3
3,3
3,3
6,0
3,2
6,0
2,3
3,3
0,4
1,2
4,4
3,3
0,0
4,4
4,4
2,2
0,0
4,4
4,4
6,6
4,4
2,2
2,2
4,4
2,2
3,3
6,6
2,2
0,6
